country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","15-02-2026 11:00:00",25.03280,85.41948,CO,78,100,88
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","15-02-2026 11:00:00",25.892357,86.590325,NO2,5,9,7
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","15-02-2026 11:00:00",25.892357,86.590325,OZONE,6,12,9
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","15-02-2026 11:00:00",16.5150833,80.5181667,SO2,13,36,17
India,Delhi,Delhi,"Bawana, Delhi - DPCC","15-02-2026 11:00:00",28.776200,77.051074,SO2,9,26,16
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","15-02-2026 11:00:00",28.7256504,77.2011573,PM10,103,254,160
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","15-02-2026 11:00:00",28.7256504,77.2011573,CO,22,103,50
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","15-02-2026 11:00:00",28.5512005,77.2735737,PM2.5,67,328,169
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","15-02-2026 11:00:00",28.5512005,77.2735737,PM10,95,343,177
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","15-02-2026 11:00:00",28.5512005,77.2735737,NO2,44,63,51
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","15-02-2026 11:00:00",28.656756,77.227234,PM10,95,272,156
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","15-02-2026 11:00:00",28.656756,77.227234,NO2,20,57,32
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","15-02-2026 11:00:00",28.656756,77.227234,CO,71,147,108
India,Delhi,Delhi,"DTU, Delhi - CPCB","15-02-2026 11:00:00",28.7500499,77.1112615,CO,15,40,36
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","15-02-2026 11:00:00",28.498571,77.264840,CO,8,96,25
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","15-02-2026 11:00:00",28.5710274,77.0719006,PM10,119,344,184
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","15-02-2026 11:00:00",28.5710274,77.0719006,SO2,24,46,31
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","15-02-2026 11:00:00",22.06631475,83.33820077,PM2.5,43,356,116
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","15-02-2026 11:00:00",22.06631475,83.33820077,SO2,5,17,7
India,Delhi,Delhi,"Alipur, Delhi - DPCC","15-02-2026 11:00:00",28.815329,77.153010,PM10,103,439,198
India,Delhi,Delhi,"Alipur, Delhi - DPCC","15-02-2026 11:00:00",28.815329,77.153010,NO2,25,91,56
India,Delhi,Delhi,"Alipur, Delhi - DPCC","15-02-2026 11:00:00",28.815329,77.153010,NH3,13,16,14
India,Delhi,Delhi,"Alipur, Delhi - DPCC","15-02-2026 11:00:00",28.815329,77.153010,OZONE,3,58,6
